epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.332,1.07679,3.90572,1.30044,0.00339,0.59697,0.06146,0.03405,0.69267,3.69439,1.04689,6.668e-05,6.668e-05,6.668e-05
2,1048.82,0.87517,3.5229,1.18219,0.00363,0.62121,0.30453,0.24095,0.56681,3.57436,0.97789,0.000135177,0.000135177,0.000135177
3,1529.18,0.81344,2.83295,1.0822,0.00407,0.69798,0.36167,0.28655,0.61347,3.40016,0.97113,0.000187171,0.000187171,0.000187171
4,2070.56,0.7347,2.20128,1.03639,0.00464,0.79697,0.42414,0.34125,0.6424,3.30216,0.97288,0.000222661,0.000222661,0.000222661
5,2561.62,0.73803,2.1945,0.98459,0.00487,0.82828,0.47972,0.38601,0.65926,3.28799,0.97432,0.000241648,0.000241648,0.000241648
6,3191.2,0.74788,2.15352,0.99504,0.00487,0.82828,0.52606,0.41869,0.67803,3.27609,0.98303,0.000244132,0.000244132,0.000244132
7,3871.13,0.65383,1.98402,1.00873,0.90641,0.37202,0.58958,0.46886,0.67881,3.21167,1.01169,0.000230113,0.000230113,0.000230113
8,4401.38,0.77662,1.86741,1.0555,1,0.12721,0.61247,0.49527,0.67767,3.14657,1.02099,0.00019959,0.00019959,0.00019959
9,4864.37,0.62604,1.62583,0.96296,1,0.19869,0.62031,0.50676,0.72501,3.07355,1.06085,0.000152564,0.000152564,0.000152564
10,5310.13,0.73866,1.69657,0.98992,0.97864,0.26415,0.6419,0.52677,0.73626,3.00663,1.06626,8.90345e-05,8.90345e-05,8.90345e-05
